,pid,px,py,pz,mx,my,mz,ex,ey,ez,delta p m,,,delta m e
0,ef03e569-2b50-4534-89f4-fb1e56e81461,-2243,-2000,-169,-1887,-2105.4,-190.7,-2089,-2050,-68,371.9086581,,,242.751828
1,7909c0aa-c074-4e19-aabf-b8167c682a5b,-1821,-2750,-27,-1812,-2618,-27,-1914,-2925,7,132.3064624,,,325.2829537
2,f4f45cff-c45c-413a-92ea-b6533e3e0019,-1829,250,-551,-1818,250,-581,-2094.813917,-132.1185529,-468,31.95309062,,,485.1902032
3,b89ca6e3-3d2c-4b3d-8d6b-8ef7dfb2b209,800,-7250,-956,819,-7261,-3716,836,-7350,-1493,2760.087317,,,2224.845837
4,7bc16ab1-1b0d-4f52-9e4b-210106ea344c,1245,-6250,-448,1232.5,-6242.5,-1178.2,1461,-6175,-843,730.3454936,,,411.2511884
5,39883ded-f5a2-4f4f-a98e-fb138eb8433e,2236,-6750,-1032,2217,-6753,-1488,1886,-6275,-943,456.4055214,,,796.9127932
6,55423355-281c-41f2-8ef7-5aa098ffbbed,-3430,-1750,-694,-3380,-1756,-920,-3614,-1600,-793,231.5426527,,,308.5790012
7,50f1512d-dd41-4a0c-b3ab-b0564f0424d7,-3430,-1750,-694,-2373.5,-2452.3,-306.1,-2514,-2825,-193,1326.606177,,,414.0496951
8,cf162e22-792b-4eef-9f98-0a436456ae04,2243,-2000,-169,2285.4,-2032.4,440.4,2261,-1975,-143,611.7318694,,,586.724535
9,de5d704c-4a5b-4fb0-b4af-71614c510a8b,832,-7000,-789,820,-7000,-2298,836,-7150,-1268,1509.047713,,,1040.987992
10,04db6b9e-a80c-4507-a98e-ad76294ac444,-846,-4750,-788,-722,-4781.8,-1057.7,-1064,-5250,-768,298.5386575,,,648.1522429
11,11f70c37-a546-439a-9fb7-da6b6ebfb0cb,2686,-6750,-1316,2686,-6750,-1316,2911,-6150,-1468,0,,,658.5810504
12,7332e6cf-9847-4aca-b2e3-d864989dd0fb,464,-5250,-931,463.5,-5170.7,-642.4,286,-5725,-568,299.2970097,,,586.762388
13,44f5caad-c703-4279-866b-0303e57d2a7f,-3154,-4000,-598,-2959.2,-3930,-616.5,-2939,-3900,-543,207.8203311,,,81.91635978
14,c250d4f4-7516-4cf1-a8bd-04873ca9e21c,493,-3750,-74,493,-3750,-74,-114,-3675,-993,0,,,1103.918022
15,bdb2ec51-d948-4428-b2cc-2c6cd5bf5fe3,-1294,-5500,-836,-1294,-5500,-836,-964,-5300,-768,0,,,391.8213879
16,f74a6b9a-b8a5-4c80-9c30-7dd4cdbb48c0,978,1750,-836,982.6,1775.1,-64.8,1136,1525,-843,771.6220642,,,831.6710948
17,dec6ad00-01c8-4bfd-bcdc-b37c5e0cdb0e,-1300,-500,-242,-1476.9,-660.6,-14.4,-1764,-1025,-143,329.9814086,,,481.4059929
18,0fcb5f66-4d56-4247-8413-aef51e484e67,-1300,-500,-242,0,0,0,1961,-5950,-893,1413.705769,,,6328.149018
19,eb81be5b-2614-4f3f-b087-a2ec4bba3187,-2371,750,-931,-2554.6,1074.6,-1157.8,-2839,1150,-1393,436.4772159,,,376.6796517
20,9241a007-33e7-4573-8292-eebd7a718e70,-2304,-4250,-265,-2517.8,-4220.9,2108,-2314,-4700,-693,2382.789594,,,2848.977404
